MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
0.2591566,-0.7129469,-0.19874084,0.62050134,0.065698005,0.5528678,-0.8339242,-1.3314816,-0.7144113,-0.19659565,-0.46734232,-1.1443084,-1.4697762
-1.5216444,-0.6511833,1.0874243,1.084272,0.91064376,0.5918386,0.53643423,0.16967183,0.30013475,-0.0716552,-0.20398441,-0.35586053,-0.32789215
0.33096308,0.6746627,0.60721254,-0.110223256,1.1221079,0.9900384,0.093502484,-0.71981215,-0.006349087,-0.06975578,-0.40018412,-0.8385897,-0.68872416
0.5032747,0.23800997,0.1322743,0.5067082,0.19034462,0.3585623,-0.57810855,-0.28408143,-0.507428,-0.65960145,-0.7023868,-0.38792506,-0.8380342
-0.21813904,0.7032232,0.92616737,0.18237638,0.6136089,0.83703077,0.20308876,-0.14422879,0.45297027,0.38571173,-0.09810209,-0.45318487,-0.45570943
-0.21288902,0.09222541,0.84542257,0.73399913,1.444028,1.1886612,0.8932554,0.1737583,0.67127526,0.41306254,0.14807762,-0.13603847,-0.1139293
1.0740687,1.625638,0.7145798,0.056445636,0.7065145,1.6487192,-0.54318434,-0.3944784,-0.43248498,0.046087094,-0.71365327,-0.9904454,-0.7492613
1.4271512,0.08188596,-0.5987623,0.6934042,0.11706029,0.37999925,-0.74329495,-0.15218577,-0.71775144,-0.60171276,-0.4747876,-0.604748,-0.58900553
-0.58445466,-1.1480858,0.14399756,0.15315926,-0.35941744,-0.33475205,-1.2324654,-0.7495536,-0.6351099,0.49289247,1.8418478,2.2068222,1.8116665
-0.92867225,0.460333,0.9867486,0.54476875,1.2385089,1.3967061,0.80543554,0.004268495,-0.11242935,-0.24867886,-0.1414968,-0.42265663,-0.591589
1.1903307,0.71775347,-0.16111338,0.21294102,0.43658704,1.3710244,0.10816867,-0.22862852,-0.573564,0.41153798,0.43588138,-0.86205924,-1.4714863
-0.4663817,0.68726975,0.95844436,-0.25246847,0.8624274,0.8064011,0.3419153,0.08703267,1.4533136,0.76849294,-0.31671453,-1.029488,-0.2868036
0.7776983,-0.6225421,-0.31429216,0.4021973,-0.72437847,-0.14979744,-0.80546325,-0.2001104,-0.9456059,-0.7368225,-0.930662,-1.0678704,-1.0820043
0.15806022,-0.25971627,0.00026481194,0.42544934,-0.39760488,0.29572922,-0.6753734,-0.47639573,-0.88269687,-0.27071065,-0.5414261,-0.55432004,-0.914605
-0.11299105,0.62270945,0.9147946,0.5366303,0.8307966,1.0164375,0.27467853,-0.5502006,-0.40593308,-0.34747097,-0.5311605,-1.0362233,-1.154978
1.4995017,0.611005,-0.6636613,0.22011794,-0.65687805,0.6609148,-1.1662153,-0.37088424,-0.8257424,0.19565009,-0.44052008,-1.0128876,-0.86396223
0.68453157,1.3746911,1.3792855,0.8689814,0.8854034,1.5720637,-0.16873534,-0.5267157,-0.06277257,0.09344513,-0.7566389,-0.90081227,-0.91778463
-0.63781834,0.39875197,1.0771166,0.5681503,1.2517017,1.1909099,0.62383866,-0.09005627,0.5765834,0.41009325,0.07900392,-0.2278929,-0.20013003
